hashed_user_email,courserun_readable_id,courseaccess_role,organization,platform
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+JPAL102x+3T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+JPAL102x+3T2024,staff,MITxT,MITx Online
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14_73x/1T2014,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/1T2017,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/1T2018,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/1T2019,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/1T2020,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/1T2021,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/2T2017,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/2T2018,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/2T2019,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/2T2019a,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/2T2020,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/2T2021,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/2T2022,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/3T2016,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/3T2017,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/3T2018,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/3T2020,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/3T2021,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.100x/3T2022,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/1T2017,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/1T2018,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/1T2019,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/1T2020,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/1T2021,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/1T2022,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/2T2017,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/2T2018,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/2T2019,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/2T2019a,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/2T2020,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/2T2021,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/2T2022,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/3T2016,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/3T2017,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/3T2018,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/3T2020,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/3T2021,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.310x/3T2022,staff,MITx,edX.org
8531233373138830eeacb853250d724b15fe5f9aac844641b79331c7fa86fe7e,MITx/14.73x_1/1T2015,staff,MITx,edX.org
